	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	EXP_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
24-10	143	5	CYAN_2	7	1117	0	CH25_DUNGEON	SPIDER_QUEEN,DUNGEON_MAN,NPC_CRYSTAL_LIZARD,UNSTABLE_UNDERSTUDY,STORM_DRAGON,FAITH_HEALER	NPC_SKELETON_DEER,ZOMBIE_SQUIRE,NPC_BREAKER_MKII,RABID_DRAGON,NPC_SQUIRREL,NPC_ICE_GOLEM	RAGING_REVENANT,NPC_SHARK,MEDUSA,NPC_SCARECROW,ELECTROYETI,[boss]CRIMSON_WITCH	SHARD_REEL_MAGICAL_PEST_MAST,SHARD_DOUBLE_AXE,SHARD_REEL_HEART_HAT	SHARD_REEL_HEART_HAT,SHARD_REEL_HEART_HAT,SHARD_REEL_HEART_HAT,SHARD_DOUBLE_AXE,SHARD_DOUBLE_AXE,SHARD_REEL_HEART_HAT
24-11	143	5	CYAN_2	7	1117	0	CH25_DUNGEON	SNAP_DRAGON,NPC_BREAKER_MKII,SPIDER_QUEEN,DUST_DEVIL,NPC_BREAKER_MKII,UNSTABLE_UNDERSTUDY	VULTURE_DRAGON,COSMIC_ELF,NPC_SQUID,NPC_HEALER_SPRITE,CRIMSON_WITCH,NPC_WILDLING_ARCHER	ROLLER_WARRIOR,NPC_POTTED_PLANT,ORC_MONK,DEEP_DRAGON,FAITH_HEALER,[boss]ANGELIC_HERALD	SHARD_REEL_STEAM_ENGINE,SHARD_DEVILS_POT,SHARD_GIANTS_GROG	SHARD_GIANTS_GROG,SHARD_GIANTS_GROG,SHARD_GIANTS_GROG,SHARD_DEVILS_POT,SHARD_DEVILS_POT,SHARD_GIANTS_GROG
24-12	144	5	CYAN_2	7	1117	1	CH25_HALL	NPC_STONE_IMP,NPC_HEAD_CRAB,BONE_DRAGON,NPC_BREAKER_MKII,NPC_BREAKER_MKII,CENTAUR_OF_ATTENTION	VULTURE_DRAGON,NPC_SCARECROW,ELECTROYETI,UNSTABLE_UNDERSTUDY,CURSED_STATUE,MISTRESS_MANICURE	SNIPER_WOLF,BLACK_WING,GRAND_HUNTRESS,NPC_CRYSTAL_LIZARD,NPC_CRYSTAL_LIZARD,[boss]GREED_DRAGON	SHARD_REEL_IRON_HELMET_OF_BIKING,SHARD_DRAGONS_POCKET_WATCH,SHARD_DRAGON_BLANKIE,SHARD_REEL_ESCUTCHEON_OF_EYES	SHARD_REEL_IRON_HELMET_OF_BIKING,SHARD_DRAGONS_POCKET_WATCH,SHARD_DRAGON_BLANKIE,SHARD_DRAGONS_POCKET_WATCH,SHARD_DOUBLE_BLADED_SWORD,SHARD_DOUBLE_BLADED_SWORD
24-13	144	5	CYAN_2	7	1117	0	CH25_HALL	NPC_CAULDRON_MONSTER,NINJA_DWARF,RABID_DRAGON,NPC_HEALER_SPRITE,GROOVY_DRUID,ANGELIC_HERALD	SILENT_SPIRIT,FROST_GIANT,DUST_DEVIL,SKELETON_KING,NPC_CRYSTAL_GOLEM,NPC_SQUIRREL	NPC_CLOUD_MONSTER,PLANT_SOUL,NPC_MR_SMASHY,NPC_MYSTIC_WILDLING,BARDBARIAN,[boss]DEEP_DRAGON	SHARD_REEL_STEAM_ENGINE,SHARD_DEVILS_POT,SHARD_REEL_OGRES_BATTERING_RAM	SHARD_REEL_OGRES_BATTERING_RAM,SHARD_REEL_OGRES_BATTERING_RAM,SHARD_REEL_OGRES_BATTERING_RAM,SHARD_DEVILS_POT,SHARD_DEVILS_POT,SHARD_REEL_OGRES_BATTERING_RAM
24-14	144	5	CYAN_2	7	1117	0	CH25_RAMPARTWALL_B	NPC_CAULDRON_MONSTER,NPC_CRYSTAL_LIZARD,MINOTAUR,NPC_SKELETON_DEER,RABID_DRAGON,SKELETON_KING	UNICORGI,NPC_POTTED_PLANT,DEMON_TOTEM,MEDUSA,BONE_DRAGON,WEE_WITCH	ROLLER_WARRIOR,NPC_CRYSTAL_LIZARD,BANSHEE,CYCLOPS_WIZARD,ANGELIC_HERALD,[boss]ANGEL_DRAGON	SHARD_REEL_IRON_HELMET_OF_BIKING,SHARD_NAUGHTY_TAPESTRY,SHARD_REEL_HEART_HAT	SHARD_REEL_HEART_HAT,SHARD_REEL_HEART_HAT,SHARD_REEL_HEART_HAT,SHARD_NAUGHTY_TAPESTRY,SHARD_NAUGHTY_TAPESTRY,SHARD_REEL_HEART_HAT
24-15	145	5	CYAN_2	7	1117	1	CH25_RAMPARTWALL_B	NPC_GOBLIN,NPC_BREAKER_MKII,DRUIDINATRIX,DOPPELGANGER,MOON_DRAKE,ANGELIC_HERALD	UNICORGI,NPC_BREAKER_MKII,NPC_SKELETON_DEER,STOWAWAY,SHADOW_ASSASSIN,SNIPER_WOLF	UNRIPE_MYTHOLOGY,SAVAGE_CUTIE,ELECTROYETI,FROST_GIANT,DRAGZILLA,[boss]BLACK_WING	SHARD_REEL_ADVENTURERS_RIDES,SHARD_MANLY_FIRST_AID_KIT,SHARD_REEL_BUNNY_BLADE,SHARD_REEL_SOUL_FOR_POWER_VOLUME_45	SHARD_REEL_ADVENTURERS_RIDES,SHARD_MANLY_FIRST_AID_KIT,SHARD_REEL_BUNNY_BLADE,SHARD_SOUL_PUPPET,SHARD_SOUL_PUPPET
24-16	145	5	CYAN_2	7	1117	0	CH25_TEMPLE_TOWER	NPC_KAMIKAZE_GNOME,NPC_CRYSTAL_LIZARD,BONE_DRAGON,FROST_GIANT,NPC_CRYSTAL_LIZARD,FAITH_HEALER	ORC_MONK,DARK_HORSE,STOWAWAY,CYCLOPS_WIZARD,CURSED_STATUE,SHADOW_ASSASSIN	DRAGON_LADY,BROZERKER,NINJA_DWARF,GROOVY_DRUID,CATAPULT_KNIGHT,[boss]TRIPLE_THREAT	SHARD_REEL_IRON_HELMET_OF_BIKING,SHARD_NAUGHTY_TAPESTRY,SHARD_REEL_COG_NITIVE_MASK	SHARD_REEL_COG_NITIVE_MASK,SHARD_REEL_COG_NITIVE_MASK,SHARD_REEL_COG_NITIVE_MASK,SHARD_NAUGHTY_TAPESTRY,SHARD_NAUGHTY_TAPESTRY,SHARD_REEL_COG_NITIVE_MASK
24-17	145	5	CYAN_2	7	1117	0	CH25_TEMPLE_TOWER	NPC_STONE_IMP,DOPPELGANGER,NPC_MYSTIC_WILDLING,WEE_WITCH,DEEP_DRAGON,SHADOW_ASSASSIN	SNAP_DRAGON,DUST_DEVIL,FROST_GIANT,STOWAWAY,MOON_DRAKE,NPC_MUSHROOM	RAGING_REVENANT,ORC_MONK,KRAKEN_KING,NPC_HEAD_CRAB,NPC_CRYSTAL_LIZARD,[boss]DRAGZILLA	SHARD_REEL_ADVENTURERS_RIDES,SHARD_DRAGONS_POCKET_WATCH,SHARD_REEL_OGRES_BATTERING_RAM	SHARD_REEL_OGRES_BATTERING_RAM,SHARD_REEL_OGRES_BATTERING_RAM,SHARD_REEL_OGRES_BATTERING_RAM,SHARD_DRAGONS_POCKET_WATCH,SHARD_DRAGONS_POCKET_WATCH,SHARD_REEL_OGRES_BATTERING_RAM
24-18	145	5	CYAN_2	7	1117	1	CH25_TEMPLE_TOWER	UNICORGI,NPC_BREAKER_MKII,POLEMASTER,TOMB_ANGEL,BARDBARIAN,VOID_WYVERN	DRUIDINATRIX,SATYR,NPC_CRYSTAL_LIZARD,STOWAWAY,UNSTABLE_UNDERSTUDY,WEREDRAGON	UNRIPE_MYTHOLOGY,SAVAGE_CUTIE,MOON_DRAKE,TRIPLE_THREAT,BLACK_WING,[boss]GREED_DRAGON	SHARD_REEL_DRAGON_LEATHER_TIGHTS,SHARD_REEL_THE_SHIELD_STOPS_YOU,SHARD_RING_OF_FIRE,SHARD_REEL_FEATHER_WEIGHT_FOIL	SHARD_REEL_DRAGON_LEATHER_TIGHTS,SHARD_REEL_THE_SHIELD_STOPS_YOU,SHARD_RING_OF_FIRE,SHARD_REEL_THE_SHIELD_STOPS_YOU,SHARD_HEARTY_CHEST,SHARD_HEARTY_CHEST
25-0	146	5	CYAN_3	7	1118	1	CH26_SUNBAKED_DESERT	TRIPLE_THREAT,SOJOURNER_SORCERESS,ANGEL_DRAGON,MINOTAUR,WEREDRAGON,ORC_MONK	NPC_MR_SMASHY,FROST_GIANT,WEE_WITCH,NPC_FIRE_IMP,FAITH_HEALER,DEMON_TOTEM	SAVAGE_CUTIE,GRAND_HUNTRESS,FORGOTTEN_DRAGON,MOON_DRAKE,CRIMSON_WITCH,[boss]DIGGER_MOLE	SHARD_REEL_GOOD_SLEEPING_BED,SHARD_PRICKLING_WHIP,SHARD_PHOENIX_TALISMAN,SHARD_REEL_BRACELET_OF_LIGHTNING	SHARD_REEL_GOOD_SLEEPING_BED,SHARD_PRICKLING_WHIP,SHARD_PHOENIX_TALISMAN,SHARD_PRICKLING_WHIP,SHARD_REEL_PURIFICATION_ROBE,SHARD_REEL_ROCKET_CLOAK
25-1	146	5	CYAN_3	7	1118	0	CH26_SUNBAKED_DESERT	NPC_ANGELIC_AVENGER,TOMB_ANGEL,FAITH_HEALER,NPC_STONE_IMP,SOJOURNER_SORCERESS,NPC_MR_SMASHY	NPC_CAULDRON_MONSTER,NPC_HEAD_CRAB,CRIMSON_WITCH,KARAOKE_KING,NPC_SHARK,ZOMBIE_SQUIRE	DRAGON_LADY,RABID_DRAGON,GENIE,SILENT_SPIRIT,SOJOURNER_SORCERESS,[boss]PLAGUE_ENTREPRENEUR	SHARD_REEL_IRON_HELMET_OF_BIKING,SHARD_DEVILS_POT,SHARD_REEL_OGRES_BATTERING_RAM	SHARD_REEL_OGRES_BATTERING_RAM,SHARD_REEL_OGRES_BATTERING_RAM,SHARD_REEL_OGRES_BATTERING_RAM,SHARD_DEVILS_POT,SHARD_DEVILS_POT,SHARD_REEL_OGRES_BATTERING_RAM
25-2	146	5	CYAN_3	7	1119	0	CH26_NIGHT_DESERT	NPC_PLAGUE_SKULKER,STOWAWAY,FAITH_HEALER,AQUATIC_MAN,PIRATE,BROZERKER	TRIPLE_THREAT,STOWAWAY,MAGIC_DRAGON,FROST_GIANT,NPC_STONE_IMP,SAVAGE_CUTIE	NPC_TROLL_BLOB,FROST_GIANT,MOON_DRAKE,PLAGUE_ENTREPRENEUR,POLEMASTER,[boss]ETERNAL_ENCHANTER	SHARD_REEL_GOOD_SLEEPING_BED,SHARD_NAUGHTY_TAPESTRY,SHARD_REEL_HEART_HAT	SHARD_REEL_HEART_HAT,SHARD_REEL_HEART_HAT,SHARD_REEL_HEART_HAT,SHARD_NAUGHTY_TAPESTRY,SHARD_NAUGHTY_TAPESTRY,SHARD_REEL_HEART_HAT
25-3	147	5	CYAN_3	7	1120	1	CH26_NIGHT_DESERT	ROLLER_WARRIOR,GROOVY_DRUID,NPC_MUSHROOM,NPC_CRYSTAL_GOLEM,NPC_ANT,RAGING_REVENANT	UNICORGI,AQUATIC_MAN,NPC_ICE_GOLEM,NPC_BUFF_SPRITE,NPC_MR_SMASHY,NPC_TROLL_BLOB	SNAP_DRAGON,CYCLOPS_WIZARD,ANGELIC_HERALD,PIRATE,TOMB_ANGEL,[boss]ANCIENT_DWARF	SHARD_REEL_SUNBLOCK_GOGGLES,SHARD_WILDYS_HAT,SHARD_LAZARUS_BEANS,SHARD_REEL_HELMET_OF_FORESIGHT	SHARD_REEL_SUNBLOCK_GOGGLES,SHARD_WILDYS_HAT,SHARD_LAZARUS_BEANS,SHARD_WILDYS_HAT,SHARD_REEL_TRIASSIC_TRINKET,SHARD_REEL_ANCIENT_CODE
25-4	147	5	CYAN_3	7	1120	0	CH26_NIGHT_DESERT	NPC_FIRE_IMP,NPC_HEAD_CRAB,NPC_WILDLING_ARCHER,NINJA_DWARF,NPC_SHARK,PLAGUE_ENTREPRENEUR	LAST_DEFENDER,NPC_SCARECROW,ETERNAL_ENCHANTER,HYDRA,WEE_WITCH,SUN_SEEKER	NPC_ANGELIC_AVENGER,COSMIC_ELF,STORM_DRAGON,CATAPULT_KNIGHT,DRUIDINATRIX,[boss]DUST_DEVIL	SHARD_REEL_GOOD_SLEEPING_BED,SHARD_NAUGHTY_TAPESTRY,SHARD_REEL_COG_NITIVE_MASK	SHARD_REEL_COG_NITIVE_MASK,SHARD_REEL_COG_NITIVE_MASK,SHARD_REEL_COG_NITIVE_MASK,SHARD_NAUGHTY_TAPESTRY,SHARD_NAUGHTY_TAPESTRY,SHARD_REEL_COG_NITIVE_MASK
25-5	147	5	CYAN_3	7	1121	0	CH26_OASIS	SNAP_DRAGON,CATAPULT_KNIGHT,DRAGZILLA,SPIKEY_DRAGON,UNSTABLE_UNDERSTUDY,SAVAGE_CUTIE	NINJA_DWARF,KRAKEN_KING,NPC_ICE_GOLEM,DUNGEON_MAN,AQUATIC_MAN,SATYR	NPC_PLAGUE_SKULKER,STEPLADDER_BROTHERS,ETERNAL_ENCHANTER,PLAGUE_ENTREPRENEUR,SPECTRAL_DRAGON,[boss]SHADOW_OF_SVEN	SHARD_REEL_SUNBLOCK_GOGGLES,SHARD_PRICKLING_WHIP,SHARD_REEL_OGRES_BATTERING_RAM	SHARD_REEL_OGRES_BATTERING_RAM,SHARD_REEL_OGRES_BATTERING_RAM,SHARD_REEL_OGRES_BATTERING_RAM,SHARD_PRICKLING_WHIP,SHARD_PRICKLING_WHIP,SHARD_REEL_OGRES_BATTERING_RAM
25-6	147	5	CYAN_3	7	1122	1	CH26_OASIS	WEREDRAGON,DUST_DEVIL,NPC_SQUIRREL,SPECTRAL_DRAGON,NINJA_DWARF,NPC_STONE_IMP	VULTURE_DRAGON,NPC_BUFF_SPRITE,NPC_WILDLING_ARCHER,SKELETON_KING,HYDRA,NPC_KAMIKAZE_GNOME	NPC_POTTED_PLANT,DOPPELGANGER,ETERNAL_ENCHANTER,BANSHEE,MEDUSA,[boss]SADISTIC_DANCER	SHARD_REEL_DRAGON_SAND_BOOTS,SHARD_IRON_CLAWS,SHARD_REEL_SWORD_OF_DESPAIR,SHARD_REEL_DRAGONS_BLADE	SHARD_REEL_DRAGON_SAND_BOOTS,SHARD_IRON_CLAWS,SHARD_REEL_SWORD_OF_DESPAIR,SHARD_IRON_CLAWS,SHARD_REEL_RUBY_FLIP_FLOPS,SHARD_REEL_FEATHER_WEIGHT_PAULDRONS
25-7	147	5	CYAN_3	7	1123	0	CH26_OASIS	TRIPLE_THREAT,NPC_SQUID,ANGEL_DRAGON,MEDUSA,ELECTROYETI,RAGING_REVENANT	BULWARK_ANGEL,DARK_DRACUL,STORM_DRAGON,SPIDER_QUEEN,DUNGEON_MAN,ROLLER_WARRIOR	SUN_SEEKER,GROOVY_DRUID,MOON_DRAKE,LAST_DEFENDER,CENTAUR_OF_ATTENTION,[boss]UNICORGI	SHARD_REEL_SUNBLOCK_GOGGLES,SHARD_PRICKLING_WHIP,SHARD_PHOENIX_TALISMAN	SHARD_PHOENIX_TALISMAN,SHARD_PHOENIX_TALISMAN,SHARD_PHOENIX_TALISMAN,SHARD_PRICKLING_WHIP,SHARD_PRICKLING_WHIP,SHARD_PHOENIX_TALISMAN
25-8	147	5	CYAN_3	7	1123	0	CH26_SUNBAKED_DESERT	BULWARK_ANGEL,GRAND_HUNTRESS,ANGELIC_HERALD,PIRATE,SPECTRAL_DRAGON,NPC_FLEA_DEMON	NPC_GOBLIN,FROST_GIANT,NPC_SQUIRREL,MAGIC_DRAGON,FAITH_HEALER,NPC_SKELETON_DEER	NPC_TROLL_BLOB,BANSHEE,MOON_DRAKE,TOMB_ANGEL,CURSED_STATUE,[boss]SUN_SEEKER	SHARD_REEL_DRAGON_SAND_BOOTS,SHARD_WILDYS_HAT,SHARD_REEL_COG_NITIVE_MASK	SHARD_REEL_COG_NITIVE_MASK,SHARD_REEL_COG_NITIVE_MASK,SHARD_REEL_COG_NITIVE_MASK,SHARD_WILDYS_HAT,SHARD_WILDYS_HAT,SHARD_REEL_COG_NITIVE_MASK
25-9	148	5	CYAN_3	7	1124	1	CH26_SUNBAKED_DESERT	SATYR,NPC_SCARECROW,NPC_ICE_GOLEM,UNSTABLE_UNDERSTUDY,GROOVY_DRUID,NPC_PLAGUE_SKULKER	SNAP_DRAGON,NPC_HEALER_SPRITE,SPIKEY_DRAGON,SUN_SEEKER,CRIMSON_WITCH,NPC_ANGELIC_AVENGER	NPC_ANT,DUST_DEVIL,SPECTRAL_DRAGON,DWARVEN_ARCHER,NPC_BREAKER_MKII,[boss]DIGGER_MOLE	SHARD_REEL_PYRAMID_POWER,SHARD_REEL_DANCERS_BRA,SHARD_REEL_RING_OF_TEMPTATION,SHARD_REEL_GREAVES_OF_PLEIAS	SHARD_REEL_PYRAMID_POWER,SHARD_REEL_DANCERS_BRA,SHARD_REEL_RING_OF_TEMPTATION,SHARD_REEL_DENSE_CAKE_OF_HATE,SHARD_CRUDE_SNIPPERS,SHARD_CRUDE_SNIPPERS
25-10	148	5	CYAN_3	7	1125	0	CH26_SUNBAKED_DESERT	SHADOW_OF_SVEN,SOJOURNER_SORCERESS,NPC_ICE_GOLEM,CYCLOPS_WIZARD,DUNGEON_MAN,SUN_SEEKER	NPC_LYING_LANTERN,DARK_DRACUL,SPECTRAL_DRAGON,VULTURE_DRAGON,DARK_HORSE,NPC_FIRE_IMP	NPC_ANGELIC_AVENGER,NPC_WILDLING_SNIPER,KARAOKE_KING,FROST_GIANT,NINJA_DWARF,[boss]WEE_WITCH	SHARD_REEL_DRAGON_SAND_BOOTS,SHARD_WILDYS_HAT,SHARD_LAZARUS_BEANS	SHARD_LAZARUS_BEANS,SHARD_LAZARUS_BEANS,SHARD_LAZARUS_BEANS,SHARD_WILDYS_HAT,SHARD_WILDYS_HAT,SHARD_LAZARUS_BEANS
25-11	148	5	CYAN_3	7	1125	0	CH26_PALACE_IN_SAND	GREED_DRAGON,NPC_SCARECROW,KARAOKE_KING,NPC_WILDLING_SNIPER,ANGELIC_HERALD,NPC_PLAGUE_SKULKER	BURNT_ONE,SOJOURNER_SORCERESS,DRAGZILLA,POLEMASTER,MEDUSA,NPC_LYING_LANTERN	DRAGON_LADY,NPC_EYEBALL,CRIMSON_WITCH,UNICORGI,CYCLOPS_WIZARD,[boss]SATYR	SHARD_REEL_PYRAMID_POWER,SHARD_IRON_CLAWS,SHARD_PHOENIX_TALISMAN	SHARD_PHOENIX_TALISMAN,SHARD_PHOENIX_TALISMAN,SHARD_PHOENIX_TALISMAN,SHARD_IRON_CLAWS,SHARD_IRON_CLAWS,SHARD_PHOENIX_TALISMAN
25-12	149	5	CYAN_3	7	1126	1	CH26_PALACE_IN_SAND	BULWARK_ANGEL,UNSTABLE_UNDERSTUDY,NPC_CRYSTAL_LIZARD,NPC_HEAD_CRAB,BANSHEE,NPC_POTTED_PLANT	WEREDRAGON,STEPLADDER_BROTHERS,SHADOW_ASSASSIN,SPIDER_QUEEN,CATAPULT_KNIGHT,SNAP_DRAGON	SUN_SEEKER,CYCLOPS_WIZARD,FORGOTTEN_DRAGON,DRUIDINATRIX,BROZERKER,[boss]ANCIENT_DWARF	SHARD_REEL_NAVIGATION_TO_THE_PAST,SHARD_REEL_SAND_STORM,SHARD_REEL_MAI_TAI_OF_IMMUNITY,SHARD_GAUNTLET_OF_THRONE	SHARD_REEL_NAVIGATION_TO_THE_PAST,SHARD_REEL_SAND_STORM,SHARD_REEL_MAI_TAI_OF_IMMUNITY,SHARD_GAUNTLET_OF_THRONE,SHARD_MAD_GODS_MUG,SHARD_MAD_GODS_MUG
25-13	149	5	CYAN_3	7	1127	0	CH26_PALACE_IN_SAND	NPC_ANGELIC_AVENGER,NPC_HEALER_SPRITE,DRAGZILLA,CATAPULT_KNIGHT,SILENT_SPIRIT,SPIDER_QUEEN	PLANT_SOUL,SOJOURNER_SORCERESS,SPIKEY_DRAGON,SNIPER_WOLF,MEDUSA,NPC_FLEA_DEMON	NPC_PLAGUE_SKULKER,NPC_EYEBALL,CRIMSON_WITCH,ANGEL_DRAGON,MAGIC_DRAGON,[boss]BARDBARIAN	SHARD_REEL_PYRAMID_POWER,SHARD_IRON_CLAWS,SHARD_REEL_SWORD_OF_DESPAIR	SHARD_REEL_SWORD_OF_DESPAIR,SHARD_REEL_SWORD_OF_DESPAIR,SHARD_REEL_SWORD_OF_DESPAIR,SHARD_IRON_CLAWS,SHARD_IRON_CLAWS,SHARD_REEL_SWORD_OF_DESPAIR
25-14	149	5	CYAN_3	7	1127	0	CH26_SUNBAKED_DESERT	MINOTAUR,BONE_DRAGON,FORGOTTEN_DRAGON,VILE_BILE,NPC_INFERNO_SPIDER,SHADOW_OF_SVEN	PLANT_SOUL,NPC_BUFF_SPRITE,NPC_MUSHROOM,VULTURE_DRAGON,NPC_FIRE_IMP,POLEMASTER	DRAGON_LADY,ELECTROYETI,ANGELIC_HERALD,ORC_MONK,ETERNAL_ENCHANTER,[boss]GROOVY_DRUID	SHARD_REEL_NAVIGATION_TO_THE_PAST,SHARD_REEL_DANCERS_BRA,SHARD_LAZARUS_BEANS	SHARD_LAZARUS_BEANS,SHARD_LAZARUS_BEANS,SHARD_LAZARUS_BEANS,SHARD_REEL_DANCERS_BRA,SHARD_REEL_DANCERS_BRA,SHARD_LAZARUS_BEANS
25-15	150	5	CYAN_3	7	1128	1	CH26_SUNBAKED_DESERT	SPIDER_QUEEN,AQUATIC_MAN,CRIMSON_WITCH,FORGOTTEN_DRAGON,NPC_WILDLING_SNIPER,NPC_STONE_IMP	NPC_PLAGUE_SKULKER,PIRATE,NPC_WILDLING_ARCHER,CATAPULT_KNIGHT,ROLLER_WARRIOR,SHADOW_OF_SVEN	ORC_MONK,HYDRA,DRAGZILLA,CYCLOPS_WIZARD,SNIPER_WOLF,[boss]SADISTIC_DANCER	SHARD_REEL_BALANCE_OF_LIFE,SHARD_REEL_MASK_OF_THE_ANCIENT_KING,SHARD_REEL_WRAITH_BARRIER,SHARD_BOOK_OF_IRMAC	SHARD_REEL_BALANCE_OF_LIFE,SHARD_REEL_MASK_OF_THE_ANCIENT_KING,SHARD_REEL_WRAITH_BARRIER,SHARD_BOOK_OF_IRMAC,SHARD_GOLDEN_SLINGSHOT,SHARD_GOLDEN_SLINGSHOT
25-16	150	5	CYAN_3	7	1129	0	CH26_MASSIVE_ALTOR	PLANT_SOUL,STOWAWAY,ANGEL_DRAGON,NPC_CRYSTAL_LIZARD,NPC_SHARK,MINOTAUR	NPC_LYING_LANTERN,UNSTABLE_UNDERSTUDY,NPC_ICE_GOLEM,ORC_MONK,PIRATE,NPC_ANGELIC_AVENGER	SILENT_SPIRIT,CATAPULT_KNIGHT,CENTAUR_OF_ATTENTION,SPIKEY_DRAGON,TOMB_ANGEL,[boss]MISTRESS_MANICURE	SHARD_REEL_NAVIGATION_TO_THE_PAST,SHARD_REEL_DANCERS_BRA,SHARD_REEL_RING_OF_TEMPTATION	SHARD_REEL_RING_OF_TEMPTATION,SHARD_REEL_RING_OF_TEMPTATION,SHARD_REEL_RING_OF_TEMPTATION,SHARD_REEL_DANCERS_BRA,SHARD_REEL_DANCERS_BRA,SHARD_REEL_RING_OF_TEMPTATION
25-17	150	5	CYAN_3	7	1130	0	CH26_MASSIVE_ALTOR	NINJA_DWARF,MEDUSA,ETERNAL_ENCHANTER,NPC_ANT,NPC_CRYSTAL_LIZARD,PLAGUE_ENTREPRENEUR	POLEMASTER,NPC_SQUID,NPC_CRYSTAL_GOLEM,SPECTRAL_DRAGON,NPC_POTTED_PLANT,GREED_DRAGON	ZOMBIE_SQUIRE,GROOVY_DRUID,DWARVEN_ARCHER,ROLLER_WARRIOR,MOON_DRAKE,[boss]DUNGEON_MAN	SHARD_REEL_BALANCE_OF_LIFE,SHARD_REEL_SAND_STORM,SHARD_REEL_SWORD_OF_DESPAIR	SHARD_REEL_SWORD_OF_DESPAIR,SHARD_REEL_SWORD_OF_DESPAIR,SHARD_REEL_SWORD_OF_DESPAIR,SHARD_REEL_SAND_STORM,SHARD_REEL_SAND_STORM,SHARD_REEL_SWORD_OF_DESPAIR
25-18	150	5	CYAN_3	7	1130	1	CH26_MASSIVE_ALTOR	WEREDRAGON,STOWAWAY,CENTAUR_OF_ATTENTION,SATYR,NPC_ANT,KARAOKE_KING	PLAGUE_ENTREPRENEUR,TOMB_ANGEL,ETERNAL_ENCHANTER,DEMON_TOTEM,UNSTABLE_UNDERSTUDY,RAGING_REVENANT	[boss]NPC_ANUBIS_DRAGON	SHARD_REEL_MIRACLE_FURNACE_OF_BLACKSMITH,SHARD_REEL_MAGICAL_CREAM,SHARD_MAGICAL_WATER_BOTTLE,SHARD_REEL_BLACKSMITH_BREW	SHARD_REEL_MIRACLE_FURNACE_OF_BLACKSMITH,SHARD_REEL_MAGICAL_CREAM,SHARD_MAGICAL_WATER_BOTTLE,SHARD_MAGICAL_WATER_BOTTLE,SHARD_CAT_O_NINE_TAILS,SHARD_CAT_O_NINE_TAILS
26-0	160	5	CYAN_4	7	1130	1	CH27_ENTRANCE_TO_ALTER_WORLD	SNAP_DRAGON,NPC_CLOUD_MONSTER,NPC_SKELETON_DEER,CENTAUR_OF_ATTENTION,GRAND_HUNTRESS,RAGING_REVENANT	NPC_INFERNO_SPIDER,WEREDRAGON,PLANT_SOUL,HYDRA,BULWARK_ANGEL,NPC_FLEA_DEMON	NPC_LYING_LANTERN,DEMON_TOTEM,BURNT_ONE,VULTURE_DRAGON,DUNGEON_MAN,[boss]SNAPPER_BONE	SHARD_REEL_WARRIORS_HELMET,SHARD_REEL_HERMITS_PILLS,SHARD_DRAGON_BLANKIE,SHARD_RING_OF_FIRE	SHARD_REEL_WARRIORS_HELMET,SHARD_REEL_HERMITS_PILLS,SHARD_DRAGON_BLANKIE,SHARD_RING_OF_FIRE,SHARD_REEL_WARRIORS_HELMET,SHARD_REEL_HERMITS_PILLS
26-1	160	5	CYAN_4	7	1130	0	CH27_ENTRANCE_TO_ALTER_WORLD	NPC_GOBLIN,ORC_MONK,DARK_HORSE,RABID_DRAGON,MOON_DRAKE,VULTURE_DRAGON	BULWARK_ANGEL,NPC_TROLL_BLOB,NPC_CAULDRON_MONSTER,WEREDRAGON,DEEP_DRAGON,NPC_SKELETON_DEER	RAGING_REVENANT,NPC_CLOUD_MONSTER,NPC_INFERNO_SPIDER,HYDRA,MEDUSA,[boss]SPIDER_QUEEN	SHARD_REEL_NAVIGATION_TO_THE_PAST,SHARD_IRON_CLAWS,SHARD_REEL_SWORD_OF_DESPAIR	SHARD_REEL_SWORD_OF_DESPAIR,SHARD_REEL_SWORD_OF_DESPAIR,SHARD_REEL_SWORD_OF_DESPAIR,SHARD_IRON_CLAWS,SHARD_IRON_CLAWS,SHARD_REEL_SWORD_OF_DESPAIR
26-2	160	5	CYAN_4	7	1130	0	CH27_ENTRANCE_TO_ALTER_WORLD	NPC_KAMIKAZE_GNOME,NPC_ANT,NPC_SHARK,BULWARK_ANGEL,VULTURE_DRAGON,SHADOW_OF_SVEN	NPC_SKELETON_DEER,NPC_MR_SMASHY,NINJA_DWARF,ORC_MONK,SPECTRAL_DRAGON,ZOMBIE_SQUIRE	SNAP_DRAGON,NPC_GOBLIN,PLANT_SOUL,WEE_WITCH,BARDBARIAN,[boss]AQUATIC_MAN	SHARD_REEL_WARRIORS_HELMET,SHARD_REEL_DANCERS_BRA,SHARD_LAZARUS_BEANS	SHARD_LAZARUS_BEANS,SHARD_LAZARUS_BEANS,SHARD_LAZARUS_BEANS,SHARD_REEL_DANCERS_BRA,SHARD_REEL_DANCERS_BRA,SHARD_LAZARUS_BEANS
