	01/10/2019	01/07/2019	01/01/2019	12/26/2018	12/25/2018	12/17/2018	12/13/2018	12/10/2018	12/06/2018	12/03/2018	12/01/2018	11/29/2018	11/27/2018	11/26/2018	11/22/2018	11/19/2018	11/15/2018	11/13/2018	11/12/2018	11/08/2018	11/05/2018	11/01/2018	10/30/2018	10/29/2018	10/11/2018	10/08/2018	10/01/2018	09/24/2018	09/19/2018	09/17/2018	09/12/2018	09/01/2018	08/30/2018	08/27/2018	08/09/2018	08/06/2018	08/01/2018	07/19/2018	07/16/2018	07/01/2018	06/28/2018	06/25/2018	06/11/2018	06/06/2018	06/04/2018	06/01/2018	05/17/2018	05/14/2018	05/01/2018	04/26/2018	04/23/2018	04/05/2018	04/02/2018	04/01/2018	03/15/2018	03/12/2018	03/01/2018	02/22/2018	02/19/2018	02/01/2018	01/29/2018	01/11/2018	01/08/2018	01/01/2018	12/21/2017	12/18/2017	12/04/2017	12/01/2017	11/01/2017	10/30/2017	10/12/2017	10/09/2017	10/04/2017	10/01/2017	09/21/2017	09/18/2017	09/01/2017	08/31/2017	08/28/2017	08/10/2017	08/08/2017	08/07/2017	08/01/2017	07/20/2017	07/17/2017	07/01/2017	06/29/2017	06/27/2017	06/26/2017	06/15/2017	06/09/2017	06/07/2017	06/01/2017	05/11/2017	05/01/2017	04/28/2017	04/27/2017	04/21/2017
GUILD_STORE$1	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	BARDBARIAN	BARDBARIAN	BARDBARIAN	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	DRAGZILLA	DRAGZILLA	DRAGZILLA	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	PLANT_SOUL	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	ORC_MONK	ORC_MONK	ORC_MONK	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON
GUILD_STORE$2	ANCIENT_DWARF	ANCIENT_DWARF	ANCIENT_DWARF	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	BURNT_ONE	BURNT_ONE	BURNT_ONE	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	HYDRA	HYDRA	HYDRA	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	PIRATE	PIRATE	PIRATE	PIRATE	SNAP_DRAGON	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON
GUILD_STORE$3																																																																																														SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING
EXPEDITION$0	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	MEDUSA	MEDUSA	MEDUSA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	WEREDRAGON	WEREDRAGON	WEREDRAGON	GENIE	GENIE	GENIE	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	CATAPULT_KNIGHT	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	BARDBARIAN	BARDBARIAN	BARDBARIAN	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE
EXPEDITION$1	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	DUST_DEVIL	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	SATYR	SATYR	SATYR	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SATYR	SATYR	SATYR	SATYR	SATYR
EXPEDITION$2	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	FAITH_HEALER	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	ELECTROYETI	ELECTROYETI	ELECTROYETI	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER
COLISEUM$0	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	DUNGEON_MAN	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR
COLISEUM$1	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	SKELETON_KING	SKELETON_KING	SKELETON_KING	SATYR	SATYR	SATYR	SATYR	SATYR	SATYR	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	MEDUSA	MEDUSA	MEDUSA	PIRATE	PIRATE	PIRATE	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	SILENT_SPIRIT	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH
COLISEUM$2	BANSHEE	BANSHEE	BANSHEE	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	MINOTAUR	MINOTAUR	MINOTAUR	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	MINOTAUR	MINOTAUR	MINOTAUR	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	CURSED_STATUE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	ZOMBIE_SQUIRE	SKELETON_KING	SKELETON_KING	SKELETON_KING	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	GENIE	GENIE	GENIE	GENIE	GENIE
WAR$0	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	STOWAWAY	STOWAWAY	STOWAWAY	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	DWARVEN_ARCHER	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	UNICORGI	UNICORGI	UNICORGI	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY
WAR$1	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	BROZERKER	BROZERKER	BROZERKER	BROZERKER	STOWAWAY	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	WEREDRAGON	WEREDRAGON	WEREDRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT
WAR$2	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	STEPLADDER_BROTHERS	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	DEMON_TOTEM	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	BANSHEE	BANSHEE	BANSHEE	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE
WAR$3																																																																																														PIRATE	PIRATE	PIRATE	PIRATE	PIRATE
BAZAAR$0	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	VERMILION_PRIESTESS	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	UNRIPE_MYTHOLOGY	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM
BAZAAR$1	UMLAUT_THE_FIRST																				MEDUSA	MEDUSA	MEDUSA						STEPLADDER_BROTHERS															SUN_SEEKER																																			VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING
