	CATEGORY	RARITY	REQUIRED_LEVEL	CONTENT_UPDATE	VEND_VALUE	GOLD_PRICE	DIAMOND_PRICE	FIGHT_PIT_TOKEN_PRICE	ENCHANT_POINTS	EXP_GIVEN	STRENGTH	INTELLECT	AGILITY	MAX_HP	ATTACK_DAMAGE	MAGIC_POWER	ARMOR	MAGIC_RESISTANCE	PHYSICAL_CRIT	MAGIC_CRIT	HP_REGEN	ENERGY_REGEN	LIFE_STEAL_RATING	DODGE	IGNORE_MAGIC_RESISTANCE	IMPROVE_HEALING	ARMOR_PENETRATION	ENERGY_CONSUMPTION_REDUCTION	TENACITY	ACCURACY	SKILL_LEVEL
SHARD_REEL_TOME_OF_CURSED_HORTICULTURE	SHARD	CYAN		R2_15	6,000	74,000	25	125	4																						
SHARD_REEL_TOME_OF_FORBIDDEN_TRIVIA	SHARD	BLUE		R1	1,250	28,800	12	95	8																						
SHARD_REEL_TRIASSIC_TRINKET	SHARD	CYAN		R2_14	2,000	36,000	25	80	4																						
SHARD_REEL_UNICORN_PUKE	SHARD	ORANGE		R2_2	1,000	9,500	25	35	4																						
SHARD_REEL_UPHOLSTERED_THRONE	SHARD	ORANGE		R2_8	3,125	17,900	25	55	4																						
SHARD_REEL_WARRIORS_HELMET	SHARD	RED		R2_20	10,000	104,000	20	70	5																						
SHARD_REEL_WRAITH_BARRIER	SHARD	CYAN		R2_16	4,000	44,000	25	75	4																						
SHARD_REEL_YODELING_SWORD	SHARD	ORANGE		R1_4	625	18,500	25	25	4																						
SHARD_RING_OF_FIRE	SHARD	CYAN		R2_15	8,000	94,000	25	100	4																						
SHARD_RING_OF_ILL_WILL	SHARD	ORANGE		R2_6	2,000	43,900	25	65	4																						
SHARD_RING_OF_THE_SQUIRREL	SHARD	PURPLE		R1_4	625	18,500	25	35	4																						
SHARD_RINGS_OF_A_FEATHER	SHARD	ORANGE		R2_13	6,000	74,600	25	85	4																						
SHARD_ROLL_OF_DUCT_TAPE	SHARD	ORANGE		R2_3	1,250	31,300	25	50	4																						
SHARD_SACRED_CODEX	SHARD	BLUE		R1	500	3,300	12	40	4																						
SHARD_SELF_PRESERVER	SHARD	ORANGE		R2_1	813	22,200	25	35	4																						
SHARD_SOUL_PUPPET	SHARD	ORANGE		R2_9	3,750	57,900	25	75	4																						
SHARD_STAFF_OF_BOSS_FIGHTING	SHARD	BLUE		R1	800	5,600	12	60	9																						
SHARD_SWEATBAND_OF_TRAINING_MONTAGES	SHARD	ORANGE		R2_3	1,250	32,400	25	50	4																						
SHARD_THE_HOLY_PAIL	SHARD	ORANGE		R2_5	1,563	37,900	25	55	4																						
SHARD_THE_HUSTLE	SHARD	ORANGE		R2_10	6,000	65,900	25	85	4																						
SHARD_THE_UGLY_STICK	SHARD	BLUE		R1	750	5,000	12	50	8																						
SHARD_TIME_KILLER	SHARD	ORANGE		R2_9	3,750	59,500	25	75	4																						
SHARD_UNTESTED_JETPACK	SHARD	ORANGE		R2_3	1,250	32,400	25	50	4																						
SHARD_VOLATILE_SMOOTHIE	SHARD	ORANGE		R2_6	2,000	45,200	25	65	4																						
SHARD_VORPAL_BOOMERANG	SHARD	PURPLE		R0_3	525	11,900	15	40	5																						
SHARD_WAR_SANDALS	SHARD	ORANGE		R2_1	813	23,100	25	40	4																						
SHARD_WILDYS_HAT	SHARD	CYAN		R2_18	10,000	104,000	20	75	4																						
SHARD_WIZARDY_FOR_IDIOTS	SHARD	PURPLE		R1_3	500	15,100	25	30	4																						
SHIMMER_DUST	MISC	BLUE		R1_0	3,000	6,000	5	25	60																						
SHINING_HOLY_TREE	GEAR	RED	155	R2_22	3,180,000	31,850,000	4,900	22,050	700		5	4	2																		
SHINING_LIGHT_OF_FIREFLY	GEAR	RED	151	R2_22	1,524,000	15,275,000	2,350	11,750	500			5	4	1															100		
SHINY_BOTTLECAP	GEAR	GREEN	10	R1	400	2,300	45	40	4							12					120	30									
SHOES_OF_THE_MAD_GOD	GEAR	ORANGE	109	R2_8	375,000	2,601,500	830	3,500	500		70	70	70					65						50							
SHOP_REFRESH	MISC	PURPLE		R1			100	500																							
SHOT_IN_THE_ARM	GEAR	BLUE	45	R1	2,525	182,500	60	700	70					400		48					200	30				0.20					
SHOT_IN_THE_ARM_2_ORDER	GEAR	PURPLE	71	R1_3	75,000	720,000	120	1,500	500				21										20				50				
SHOT_IN_THE_ARM_3_ORDER	GEAR	PURPLE	76	R1_4	93,750	885,000	240	2,250	500				31														100				
SHOVEL	GEAR	PURPLE	59	R1_0	29,500	414,000	625	1,100	280						88				75								10				
SHRIMPISH_CREATURE	GEAR	RED	151	R2_22	1,524,000	15,275,000	2,350	13,220	500			5	4	1																	
SHRINE_ROLL_CRYSTAL	MISC	PURPLE		R1			550	2,000																							
SHRINE_ROLL_STONE	MISC	PURPLE		R1			100	500																							
SICK_MULLET	GEAR	ORANGE	105	R2_6	240,000	2,326,500	830	3,500	500			100				500								50				0.3			2
SIDE_OF_BACON	GEAR	GREEN	16	R1	437	8,600	60	135	7		6										70	50									
SILVER_CHEST_ROLL_X1	MISC	PURPLE		R1			2	100																							
SILVER_ORE	TRASH	BLUE		R1	20,000	40,000	4	25																							
SKIN_ABYSS_DRAGON_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_ABYSS_DRAGON_WINTER	MISC	WHITE		R1	100,000																										
SKIN_ANCIENT_DWARF_MECHA	MISC	WHITE		R1	100,000																										
SKIN_ANGEL_DRAGON_FALLEN	MISC	WHITE		R1	100,000																										
SKIN_ANGEL_DRAGON_USERCONTEST	MISC	WHITE		R1	100,000																										
SKIN_ANGELIC_HERALD_PIGEON	MISC	WHITE		R1	100,000																										
SKIN_AQUATIC_MAN_MANATEE	MISC	WHITE		R1	100,000		5,000	5,000																							
SKIN_AQUATIC_MAN_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_BANSHEE_BUTTON_DOLL	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_BANSHEE_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_BARDBARIAN_CHAMPION	MISC	WHITE		R1	100,000		3,000	20,000																							
SKIN_BARDBARIAN_EMO_FREDDIE	MISC	WHITE		R1	100,000																										
SKIN_BARDBARIAN_HIGHSCORE	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_BARDBARIAN_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_BARDBARIAN_WOOD_ELF	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_BLACK_WING_MECHA	MISC	WHITE		R1	100,000																										
SKIN_BONE_DRAGON_ADAMANTIUM	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_BONE_DRAGON_MASTERY	MISC	WHITE		R0_3	100,000																										
SKIN_BONE_DRAGON_PEPPERMINT	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_BROZERKER_BODYGUARD	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_BROZERKER_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_BROZERKER_VEGAS_DUDE	MISC	WHITE		R1	100,000																										
SKIN_BROZERKER_VETERAN	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_BULWARK_ANGEL_SWAN	MISC	WHITE		R1	100,000																										
SKIN_BURNT_ONE_VOODOO	MISC	WHITE		R1	100,000																										
SKIN_CATAPULT_KNIGHT_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_CATAPULT_KNIGHT_UNICORN	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_CENTAUR_OF_ATTENTION_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_CENTAUR_RESPLENDENT	MISC	WHITE		R1	100,000		3,000	5,000																							
SKIN_COSMIC_ELF_ALIEN	MISC	WHITE		R0_3	100,000		5,000	10,000																							
SKIN_COSMIC_ELF_HORROR	MISC	WHITE		R1	100,000																										
SKIN_COSMIC_ELF_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_COSMIC_ELF_VELVETEEN_FOX	MISC	WHITE		R1	100,000																										
SKIN_CRIMSON_WITCH_CRIMSON_PANDA	MISC	WHITE		R1	100,000																										
SKIN_CRIMSON_WITCH_CROW	MISC	WHITE		R1	100,000		4,000	10,000																							
SKIN_CRIMSON_WITCH_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_CRIMSON_WITCH_SORCERESS	MISC	WHITE		R1	100,000		5,000	5,000																							
SKIN_CURSED_STATUE_HAWAII	MISC	WHITE		R1	100,000																										
SKIN_CURSED_STATUE_MEER	MISC	WHITE		R1	100,000																										
SKIN_CURSED_STATUE_USERCONTEST	MISC	WHITE		R1	100,000																										
SKIN_CYCLOPS_WIZARD_CYCLEOPS	MISC	WHITE		R1	100,000																										
SKIN_CYCLOPS_WIZARD_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_CYCLOPS_WIZARD_VALENTINE	MISC	WHITE		R1	100,000		5,000																								
SKIN_DARK_DRACUL_FLYING_SQUIRREL	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_DARK_DRACUL_HORROR	MISC	WHITE		R1	100,000																										
SKIN_DARK_DRACUL_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_DARK_HORSE_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_DARK_HORSE_MECH	MISC	WHITE		R1	100,000		4,000	10,000																							
SKIN_DARK_HORSE_ZEBRA	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_DEEP_DRAGON_WYRM	MISC	WHITE		R1	100,000																										
SKIN_DEMON_TOTEM_KITTEN	MISC	WHITE		R0_3	100,000		5,000	20,000																							
SKIN_DEMON_TOTEM_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_DOPPELGANGER_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_DOPPELGANGER_MOLTEN	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_DRAGON_LADY_3RD_ANNIVERSARY	MISC	WHITE		R1	100,000																										
SKIN_DRAGON_LADY_ANNIVERSARY_1000TH	MISC	WHITE		R1	100,000																										
SKIN_DRAGON_LADY_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_DRAGON_LADY_SPACE_KNIGHT	MISC	WHITE		R1	100,000																										
SKIN_DRAGON_SLAYER_UNICORN	MISC	WHITE		R1	100,000																										
SKIN_DRAGON_SLAYER_WINTER	MISC	WHITE		R1	100,000																										
SKIN_DRAGZILLA_DRAG	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_DRAGZILLA_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_DRAGZILLA_MECHA	MISC	WHITE		R1	100,000																										
SKIN_DRAGZILLA_ZILLA	MISC	WHITE		R1	100,000		5,000	5,000																							
SKIN_DRUIDINATRIX_EASTER	MISC	WHITE		R1	100,000		5,000																								
SKIN_DRUIDINATRIX_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_DRUIDINATRIX_SPRING	MISC	WHITE		R1	100,000		5,000	5,000																							
SKIN_DUNGEON_MAN_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_DUNGEON_MAN_MECHA	MISC	WHITE		R1	100,000																										
SKIN_DUST_DEVIL_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_DUST_DEVIL_PARISIAN	MISC	WHITE		R1	100,000		3,000	10,000																							
SKIN_DWARVEN_ARCHER_DWARVEN_HUNTRESS	MISC	WHITE		R1	100,000																										
SKIN_DWARVEN_ARCHER_MASTERY	MISC	WHITE		R0_3	100,000																										
SKIN_DWARVEN_ARCHER_ROMANTIC	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_ELECTROYETI_3RD_ANNIVERSARY	MISC	WHITE		R1	100,000																										
SKIN_ELECTROYETI_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_ELECTROYETI_SASQUATCH	MISC	WHITE		R1	100,000		2,000	10,000																							
SKIN_ETERNAL_ENCHANTER_EASTER	MISC	WHITE		R1	100,000		5,000																								
SKIN_ETERNAL_ENCHANTER_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_ETERNAL_ENCHANTER_USERCONTEST	MISC	WHITE		R1	100,000																										
SKIN_FAITH_HEALER_CTHULU	MISC	WHITE		R1	100,000		3,000	10,000																							
SKIN_FAITH_HEALER_MASTERY	MISC	WHITE		R0_3	100,000																										
SKIN_FROST_GIANT_FLAMING	MISC	WHITE		R0_3	100,000		5,000	10,000																							
SKIN_FROST_GIANT_FURIOUS	MISC	WHITE		R1	100,000		5,000	5,000																							
SKIN_FROST_GIANT_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_GENIE_GOLDEN	MISC	WHITE		R1	100,000		5,000	5,000																							
SKIN_GENIE_RANDOM_TUSKER	MISC	WHITE		R1	100,000																										
SKIN_GENIE_TARNISHED_DJINN	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_GRAND_HUNTRESS_LEOPARD	MISC	WHITE		R1	100,000																										
SKIN_GROOVY_DRUID_DISCO	MISC	WHITE		R1	100,000																										
SKIN_GROOVY_DRUID_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_HYDRA_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_HYDRA_SEA_DRAGON	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_KARAOKE_KING_MONKEY	MISC	WHITE		R1	100,000																										
SKIN_KRAKEN_KING_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_KRAKEN_KING_MECHALORD	MISC	WHITE		R1	100,000																										
SKIN_LAST_DEFENDER_BUFFALO	MISC	WHITE		R1	100,000																										
SKIN_MAGIC_DRAGON_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_MAGIC_DRAGON_SPAGHETTI	MISC	WHITE		R1	100,000		4,000	10,000																							
SKIN_MEDUSA_BLACK_MAMBA	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_MEDUSA_HORROR	MISC	WHITE		R1	100,000																										
SKIN_MEDUSA_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_MINOTAUR_HOLSTEIN	MISC	WHITE		R1	100,000		3,000	10,000																							
SKIN_MINOTAUR_MARAUDER	MISC	WHITE		R1	100,000		5,000	5,000																							
SKIN_MINOTAUR_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_MISTRESS_MANICURE_BAT	MISC	WHITE		R1	100,000																										
SKIN_MISTRESS_MANICURE_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_MOON_DRAKE_FESTIVE_FAIRY	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_MOON_DRAKE_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_MOON_DRAKE_MECHA	MISC	WHITE		R1	100,000		5,000	35,000																							
SKIN_MOON_DRAKE_USERCONTEST	MISC	WHITE		R1	100,000																										
SKIN_NINJA_DWARF_DATENIGHT	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_NINJA_DWARF_FRIGGING_RABBIT	MISC	WHITE		R1	100,000																										
SKIN_NINJA_DWARF_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_ORC_MONK_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_ORC_MONK_MECHA	MISC	WHITE		R1	100,000																										
SKIN_ORC_MONK_ORCS	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_ORC_MONK_UNCLE	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_PCH_ANUBIS_DRAGON_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_PIRATE_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_PIRATE_SPACE	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_PLANT_SOUL_COUNTRY	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_PLANT_SOUL_HORSEY_SOUL	MISC	WHITE		R1	100,000																										
SKIN_PLANT_SOUL_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_POLEMASTER_GYMNAST	MISC	WHITE		R1	100,000		5,000	5,000																							
SKIN_POLEMASTER_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_RABID_DRAGON_DOGGY	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_RABID_DRAGON_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_RAGING_REVENANT_DOCTORING_REVENANT	MISC	WHITE		R1	100,000																										
SKIN_RAGING_REVENANT_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_ROLLER_WARRIOR_DERBY_GIRL	MISC	WHITE		R1	100,000																										
SKIN_ROLLER_WARRIOR_LUAU	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_ROLLER_WARRIOR_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_ROLLER_WARRIOR_VALENTINE	MISC	WHITE		R1	100,000		5,000																								
SKIN_SADISTIC_DANCER_MECHA	MISC	WHITE		R1	100,000																										
SKIN_SADISTIC_DANCER_WINTER	MISC	WHITE		R1	100,000																										
SKIN_SATYR_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_SATYR_WOLF	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_SAVAGE_CUTIE_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_SAVAGE_CUTIE_RAVAGER	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_SAVAGE_CUTIE_TADPOLE	MISC	WHITE		R0_3	100,000		5,000	10,000																							
SKIN_SHADOW_ASSASSIN_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_SHADOW_ASSASSIN_WATCH	MISC	WHITE		R1	100,000																										
SKIN_SHADOW_OF_SVEN_MECHA	MISC	WHITE		R1	100,000																										
SKIN_SILENT_SPIRIT_CLOWN	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_SILENT_SPIRIT_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_SKELETON_KING_ASCENDANT	MISC	WHITE		R1	100,000		5,000	35,000																							
SKIN_SKELETON_KING_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_SNAP_DRAGON_EVERGLADES	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_SNAP_DRAGON_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_SNAPPER_BONE_LIZARD_BONE	MISC	WHITE		R1	100,000																										
SKIN_SNIPER_WOLF_ASTRAL_SPIRIT	MISC	WHITE		R1	100,000		5,000	35,000																							
SKIN_SNIPER_WOLF_DANCER	MISC	WHITE		R3	100,000		5,000	5,000																							
SKIN_SOJOURNER_SORCERESS_CHRISTMAS	MISC	WHITE		R1	100,000		5,000																								
SKIN_SPECTRAL_DRAGON_EASTER	MISC	WHITE		R1	100,000		5,000																								
SKIN_SPECTRAL_DRAGON_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_SPECTRAL_DRAGON_REDDRAGON	MISC	WHITE		R1	100,000																										
SKIN_SPIDER_QUEEN_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_SPIDER_QUEEN_TURTLE	MISC	WHITE		R1	100,000																										
SKIN_SPIKEY_DRAGON_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_SPIKEY_DRAGON_MECHA	MISC	WHITE		R1	100,000		5,000	10,000																							
SKIN_SPIKEY_DRAGON_ROTUNDITY	MISC	WHITE		R1	100,000																										
SKIN_STEPLADDER_BROTHERS_HORROR	MISC	WHITE		R1	100,000																										
SKIN_STORM_DRAGON_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_STOWAWAY_BUISNESS	MISC	WHITE		R1	100,000																										
SKIN_STOWAWAY_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_STOWAWAY_SANTAS_HELPER	MISC	WHITE		R1	100,000		5,000	20,000																							
SKIN_SUN_SEEKER_SNOW	MISC	WHITE		R1	100,000																										
SKIN_TOMB_ANGEL_USERCONTEST	MISC	WHITE		R1	100,000																										
SKIN_TOMB_ANGEL_WINTER	MISC	WHITE		R1	100,000																										
SKIN_UMLAUT_THE_FIRST_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_UNICORGI_ARMORED	MISC	WHITE		R1	100,000		5,000	5,000																							
SKIN_UNICORGI_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_UNICORGI_PIZZA_MANAGER_CORGI	MISC	WHITE		R1	100,000																										
SKIN_UNICORGI_RAINBOW	MISC	WHITE		R1	100,000		5,000	35,000																							
SKIN_UNRIPE_MYTHOLOGY_WINTER	MISC	WHITE		R1	100,000																										
SKIN_UNSTABLE_UNDERSTUDY_3RD_ANNIVERSARY	MISC	WHITE		R1	100,000																										
SKIN_UNSTABLE_UNDERSTUDY_BALLERINA	MISC	WHITE		R0_3	100,000		5,000	10,000																							
SKIN_UNSTABLE_UNDERSTUDY_MASTERY	MISC	WHITE		R1	100,000																										
SKIN_VERMILION_PRIESTESS_CLERIC_OF_FALCONERS	MISC	WHITE		R1	100,000																										
SKIN_VOID_WYVERN_IMAGINATION	MISC	WHITE		R1	100,000																										
SKIN_VOID_WYVERN_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_VOID_WYVERN_TAPIR	MISC	WHITE		R1	100,000																										
SKIN_VULTURE_DRAGON_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_WEE_WITCH_EASTER	MISC	WHITE		R1	100,000		5,000																								
SKIN_WEE_WITCH_HORROR	MISC	WHITE		R1	100,000																										
SKIN_WEE_WITCH_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_WEREDRAGON_FLORIST	MISC	WHITE		R1	100,000																										
SKIN_WEREDRAGON_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SKIN_WHITE_TIGRESS_CAT_WOMAN	MISC	WHITE		R1	100,000																										
SKIN_ZOMBIE_SQUIRE_DIGITAL	MISC	WHITE		R1	100,000																										
SKIN_ZOMBIE_SQUIRE_MASTERY	MISC	WHITE		R1	100,000		5,000																								
SLIGHTLY_EVIL_MAGIC_MIRROR	GEAR	ORANGE	90	R2_3	187,500	1,479,500	2,895	2,550	500			25						25													
SMARTY_PANTS	GEAR	GREEN	10	R1	225	2,100	9	40	4			6																			
SNAKE_OIL	GEAR	BLUE	35	R1	1,650	86,000	35	450	32					350		30					100	32									
SNAZZY_VEST	GEAR	WHITE	9	R1	250	1,700	35	30	4								2					30									
SOCK_FULL_O_PENNIES	GEAR	GREEN	19	R1	675	14,000	50	150	9		9	9	9		24																
SOUL_CHEST_ROLL	MISC	PURPLE		R1			400	1,500																							
SOUL_FOR_POWER_VOLUME_45	GEAR	CYAN	135	R2_15	306,000	9,180,000	1,800	8,100	500		500	500	500	8000				200													
SOUL_OF_DRAGONS	MISC	ORANGE		R1	10,000	10,000	100	1,000																							
SOUL_PUPPET	GEAR	ORANGE	113	R2_9	187,500	2,893,500	275	3,750	100			40				400									120						
SPARKLE_PONY_KEYCHAIN	GEAR	GREEN	10	R1	228	2,350	60	40	4		3	3	3								15	15									
SPUD_GUN	GEAR	BLUE	26	R1	1,025	35,750	105	500	16				16						30												
STAFF_OF_BOSS_FIGHTING	GEAR	BLUE	24	R1	4,000	28,000	80	300	14		7	7	7						100	20											
STAMINA_CONSUMABLE	MISC	PURPLE		R1			100	225																							
STAMINA_COST_RESET	MISC	PURPLE		R1			400	2,000																							
STAY_BOARD	GEAR	ORANGE	106	R2_8	468,750	2,404,500	3,080	3,500	500				75											95							
STEAM_ENGINE	GEAR	CYAN	145	R2_17	408,000	12,240,000	2,400	10,800	500		880			15000				200							200						
STICK_ON_MOUSTACHE	GEAR	WHITE	8	R1	225	1,150	9	25	4		5	5	5																		
STOLEN_SNEAKERS	GEAR	WHITE	2	R1	75	150	9	10	2				3																		
STONE_ABYSS_DRAGON	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_ANCIENT_DWARF	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_ANGEL_DRAGON	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_ANGELIC_AVENGER	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_ANGELIC_HERALD	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_AQUATIC_MAN	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_BANSHEE	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_BARDBARIAN	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_BLACK_WING	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_BONE_DRAGON	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_BROZERKER	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_BULWARK_ANGEL	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_BURNT_ONE	STONE	BLUE		R2_10	4,000	20,000	40	100																							
STONE_CATAPULT_KNIGHT	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_CENTAUR_OF_ATTENTION	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_CLAW_MAN	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_COSMIC_ELF	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_CRIMSON_WITCH	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_CURSED_STATUE	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_CYCLOPS_WIZARD	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DARK_DRACUL	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DARK_HERO	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DARK_HORSE	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DEEP_DRAGON	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DEMON_TOTEM	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DIGGER_MOLE	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DOPPELGANGER	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DRAGON_LADY	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DRAGON_SLAYER	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DRAGZILLA	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DRUIDINATRIX	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DUNGEON_MAN	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DUST_DEVIL	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_DWARVEN_ARCHER	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_ELECTROYETI	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_ETERNAL_ENCHANTER	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_FAITH_HEALER	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_FORGOTTEN_DRAGON	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_FROST_GIANT	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_GENIE	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_GRAND_HUNTRESS	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_GREED_DRAGON	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_GROOVY_DRUID	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_HYDRA	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_KARAOKE_KING	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_KRAKEN_KING	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_LAST_DEFENDER	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_MAGIC_DRAGON	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_MEDUSA	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_MINOTAUR	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_MISTRESS_MANICURE	STONE	BLUE		R1	4,000	20,000	40	100																							
STONE_MOON_DRAKE	STONE	BLUE		R1	4,000	20,000	40	100																							
